URL,label
https://google.com,1
https://www.google.com,1
https://github.com,1
https://www.github.com,1
https://microsoft.com,1
https://www.microsoft.com,1
https://support.microsoft.com,1
https://www.microsoft.com/en-us/,1
https://apple.com,1
https://www.apple.com,1
https://amazon.com,1
https://www.amazon.com,1
https://paypal.com,1
https://www.paypal.com,1
https://linkedin.com,1
https://www.linkedin.com,1
https://youtube.com,1
https://www.youtube.com,1
https://facebook.com,1
https://www.facebook.com,1
https://instagram.com,1
https://www.instagram.com,1
https://netflix.com,1
https://www.netflix.com,1
https://adobe.com,1
https://www.adobe.com,1
https://zoom.us,1
https://www.zoom.us,1
https://openai.com,1
https://www.openai.com,1
